ms_number,Python,Stata,R,MatLab,C,Fortran,Bash,LaTeX,C++,SAS
21211,0,0,0,97,0,0,0,0,0,0
20916,0,28,0,0,0,0,0,0,0,0
22911,0,0,0,0,0,0,0,1,0,0
19047,0,5,0,0,0,35,0,0,0,0
23266,0,15,0,0,0,0,0,0,0,0
21451,0,11,0,0,3,0,0,0,0,0
16414,0,4,0,68,0,0,0,0,0,0
19562,0,1,0,27,0,0,0,0,0,0
20425,0,2,0,0,0,0,0,0,0,0
25546,0,12,0,0,0,0,0,0,0,0
21850,0,1,0,0,0,0,0,0,0,0
17444,0,3,0,8,0,0,0,0,0,0
20276,0,29,0,14,0,196,0,0,0,0
24106,0,0,0,0,0,0,0,0,0,0
19885,0,0,0,3,0,0,0,0,0,0
19806,0,0,0,0,0,0,0,0,0,0
21721,0,30,0,0,0,0,0,0,0,0
19500,0,1,0,0,0,0,0,0,0,0
25418,0,9,0,69,0,0,0,0,0,0
23898,0,44,0,0,0,0,0,0,0,0
22164,0,0,0,46,0,0,0,0,0,0
22742,0,0,0,9,0,0,0,0,0,0
22410,0,0,0,0,0,0,0,0,0,0
21989,0,0,23,0,0,0,0,0,0,0
21860,0,7,0,0,0,0,0,0,0,0
20523,0,0,0,0,0,38,0,0,0,0
21593,0,2,0,56,0,0,0,0,0,0
19013,0,0,0,0,0,0,0,0,0,0
24937,0,0,0,0,0,0,0,0,0,0
20347,0,0,0,62,0,0,0,0,0,0
23907,0,20,0,25,0,39,0,0,0,0
21316,0,1,0,7,0,0,0,0,0,0
24155,0,84,0,0,0,0,0,0,0,0
22574,0,7,0,44,0,0,0,0,0,0
17762,0,0,0,33,0,0,0,0,0,0
19304,0,54,0,0,0,52,0,0,0,0
23780,0,0,0,4,0,0,0,0,0,0
19618,0,20,0,0,0,0,0,0,0,0
24673,0,176,0,54,0,0,0,2,0,0
22793,0,18,0,0,0,0,0,0,0,0
19393,0,4,0,3,0,65,0,0,0,0
19556,0,0,0,2,0,0,0,0,0,0
23943,0,0,0,0,0,0,0,0,0,0
24653,0,0,0,1,0,0,0,1,0,0
22988,0,0,6,48,0,0,0,8,0,0
23034,0,4,0,0,0,0,0,0,0,0
24493,0,2,0,0,0,0,0,0,0,0
19184,0,3,0,5,0,0,0,0,0,0
24938,0,4,2,12,0,0,0,0,0,0
21959,0,0,0,0,0,0,0,0,0,0
23024,0,0,0,0,0,0,0,0,0,0
24175,0,5,0,0,0,0,0,0,0,0
24360,0,0,0,0,0,0,0,0,0,0
18706,0,31,0,0,0,0,0,0,0,1
22132,0,1,0,0,0,0,0,0,0,0
22132,0,1,0,0,0,0,0,0,0,0
22542,0,1,24,0,0,0,0,0,4,1
24086,0,0,0,0,0,0,0,0,0,0
19160,0,0,0,1,0,2,0,0,0,0
20328,0,0,0,0,0,0,0,2,0,0
18332,0,0,0,0,0,27,0,0,0,0
22951,0,4,0,0,0,0,0,0,0,0
21295,0,0,0,12,0,0,0,0,0,0
21434,0,0,0,0,0,0,0,0,0,0
22844,0,48,0,0,0,0,0,0,0,0
23473,0,0,2,0,0,0,0,0,2,0
24074,0,0,0,0,0,44,0,0,0,0
19019,0,2,4,48,0,0,0,0,0,0
24460,0,52,0,0,0,0,0,16,0,0
19259,0,0,0,36,0,0,0,0,0,0
23868,0,2,0,0,0,0,0,2,0,0
20984,0,3,0,113,0,0,0,0,0,2
21183,0,4,0,144,0,0,0,0,0,0
21358,0,0,0,80,0,0,0,0,0,0
23691,12,0,0,0,0,0,0,0,0,0
22712,0,0,0,10,0,0,0,0,0,0
22135,0,20,0,0,0,0,0,70,0,0
20181,0,4,0,44,0,0,0,0,0,0
22115,0,48,0,0,0,0,0,2,0,0
19184,0,0,0,3,0,0,0,0,0,0
21869,0,0,0,0,0,0,0,0,0,0
21884,0,0,0,16,0,0,0,0,0,0
17847,0,2,0,0,0,0,0,0,0,0
18772,0,0,0,11,0,0,0,0,0,0
25585,0,76,0,0,0,0,0,0,0,0
23275,0,5,0,3,0,0,0,0,0,0
25314,0,6,20,1052,38,70,36,0,0,0
23910,0,0,0,0,0,0,0,0,0,0
23113,0,0,0,22,0,0,0,0,0,0
