ms_number,file_name,file_type,file_size
21211,,,0
21211,Base_Year_Benchmark.mat,.mat,1684970
21211,Dinprime.m,.m,598
21211,expenditure.m,.m,656
21211,GDP.m,.m,599
21211,GMC.m,.m,392
21211,GOTFP.m,.m,394
21211,lambda_northdakota.txt,.txt,332
21211,Lambdas.txt,.txt,22494
21211,Lchange.m,.m,845
21211,P_h_om.m,.m,1160
21211,Shock_California_Computers.m,.m,4694
21211,Shock_FIRE_NYC.m,.m,4368
21211,,,0
21211,Base_Year_Benchmark.mat,.mat,1684970
21211,Dinprime.m,.m,598
21211,expenditure.m,.m,715
21211,GDP.m,.m,599
21211,GMC.m,.m,433
21211,GOTFP.m,.m,394
21211,Lchange.m,.m,907
21211,P_h_om.m,.m,1160
21211,Shock_Katrina.m,.m,4356
21211,Shock_NorthDakota.m,.m,4325
21211,,,0
21211,,,0
21211,Regional_effects_California_Computers.m,.m,9493
21211,Regional_effects_FIRE_NewYork.m,.m,5115
21211,Regional_effects_Hurricane_Katrina.m,.m,7484
21211,Regional_effects_North_Dakota.m,.m,7538
21211,Shock_California_Computers.mat,.mat,2214894
21211,Shock_FIRE_NewYork.mat,.mat,2181169
21211,Shock_Katrina.mat,.mat,2182730
21211,Shock_NorthDakota.mat,.mat,2181271
21211,,,0
21211,Base_Year_Benchmark.mat,.mat,1684970
21211,Dinprime.m,.m,598
21211,expenditure.m,.m,656
21211,GDP.m,.m,599
21211,GMC.m,.m,392
21211,GOTFP.m,.m,394
21211,Lchange.m,.m,845
21211,P_h_om.m,.m,1160
21211,,,0
21211,,,0
21211,Aggregate_elasticities_regional_shocks.m,.m,9520
21211,Regional_elasticities_regional_shocks.m,.m,16350
21211,Shock_region1_Benchmark.mat,.mat,2183002
21211,Shock_region10_Benchmark.mat,.mat,2183436
21211,Shock_region11_Benchmark.mat,.mat,2180486
21211,Shock_region12_Benchmark.mat,.mat,2181867
21211,Shock_region13_Benchmark.mat,.mat,2184065
21211,Shock_region14_Benchmark.mat,.mat,2183667
21211,Shock_region15_Benchmark.mat,.mat,2183031
21211,Shock_region16_Benchmark.mat,.mat,2182797
21211,Shock_region17_Benchmark.mat,.mat,2182824
21211,Shock_region18_Benchmark.mat,.mat,2183083
21211,Shock_region19_Benchmark.mat,.mat,2181787
21211,Shock_region2_Benchmark.mat,.mat,2180432
21211,Shock_region20_Benchmark.mat,.mat,2182888
21211,Shock_region21_Benchmark.mat,.mat,2183560
21211,Shock_region22_Benchmark.mat,.mat,2183505
21211,Shock_region23_Benchmark.mat,.mat,2183366
21211,Shock_region24_Benchmark.mat,.mat,2182207
21211,Shock_region25_Benchmark.mat,.mat,2183271
21211,Shock_region26_Benchmark.mat,.mat,2181143
21211,Shock_region27_Benchmark.mat,.mat,2182432
21211,Shock_region28_Benchmark.mat,.mat,2182085
21211,Shock_region29_Benchmark.mat,.mat,2182145
21211,Shock_region3_Benchmark.mat,.mat,2182601
21211,Shock_region30_Benchmark.mat,.mat,2183725
21211,Shock_region31_Benchmark.mat,.mat,2181676
21211,Shock_region32_Benchmark.mat,.mat,2184262
21211,Shock_region33_Benchmark.mat,.mat,2183678
21211,Shock_region34_Benchmark.mat,.mat,2181240
21211,Shock_region35_Benchmark.mat,.mat,2184063
21211,Shock_region36_Benchmark.mat,.mat,2182262
21211,Shock_region37_Benchmark.mat,.mat,2182486
21211,Shock_region38_Benchmark.mat,.mat,2184060
21211,Shock_region39_Benchmark.mat,.mat,2181681
21211,Shock_region4_Benchmark.mat,.mat,2182565
21211,Shock_region40_Benchmark.mat,.mat,2182864
